vi,ji,e,v,k_R,k_Rerr,k_Q,k_Qerr,P0
1.0,0,10000.0,2.0,7.85538364826484e-13,4.241782516696304e-13,8.077693866358399e-10,2.870109308682553e-11,14.885864693178979
1.0,0,10000.0,3.0,3.882397766900026e-13,2.1757346166446186e-13,3.3134859523557926e-11,5.214365575991283e-12,14.885864693178979
1.0,0,10000.0,4.0,2.0736243744081741e-13,1.465902222821037e-13,7.773018863502803e-12,2.6779796060992312e-12,14.885864693178979
1.0,0,10000.0,5.0,2.362843956860782e-13,1.6209368147915417e-13,4.872370341779433e-12,1.9361169511717465e-12,14.885864693178979
1.0,0,10000.0,6.0,2.2628113260774896e-13,1.4764827645099702e-13,3.180182588223905e-12,1.4692805377981763e-12,14.885864693178979
1.0,0,10000.0,7.0,2.3928177780202316e-13,1.9002439024777277e-13,1.6417910078547322e-12,7.055854893113102e-13,14.885864693178979
1.0,0,10000.0,8.0,5.974261381112483e-14,5.973534894652556e-14,9.219041203776995e-13,5.966949411738826e-13,14.885864693178979
1.0,0,10000.0,9.0,9.08232853687343e-14,9.08120879841525e-14,6.197696906827738e-13,4.3104623251002237e-13,14.885864693178979
1.0,0,10000.0,10.0,2.147890374836549e-13,1.8996713030201652e-13,3.222172023396287e-13,2.7660023245384934e-13,14.885864693178979
1.0,0,10000.0,11.0,1.2603063624491734e-13,1.260144691997026e-13,1.5786368861645682e-13,1.463250370822979e-13,14.885864693178979
1.0,0,10000.0,12.0,9.446833973897706e-14,9.445622370723156e-14,3.1405451814087225e-13,2.644261652191745e-13,14.885864693178979
1.0,0,10000.0,13.0,2.9871306905562414e-14,2.986767447326278e-14,1.5610002244234124e-13,1.5608014616056615e-13,14.885864693178979
1.0,0,10000.0,14.0,7.940962890850314e-14,7.939936064326225e-14,4.915198639282619e-14,4.9146085439999503e-14,14.885864693178979
1.0,0,10000.0,15.0,1.3891745532195503e-14,1.3890174334369724e-14,6.347845684530885e-14,6.347025496442375e-14,14.885864693178979
1.0,0,10000.0,18.0,0.0,0.0,0.0,0.0,14.885864693178979
1.0,0,15000.0,0.0,2.0432505108827497e-12,7.922655374692663e-13,1.6620227424240962e-09,3.4421821665381e-11,18.231386439200083
1.0,0,15000.0,1.0,1.5953506344573345e-12,6.762134894724716e-13,2.258757920747292e-09,3.4179217515254105e-11,18.231386439200083
1.0,0,15000.0,2.0,1.3128979259920042e-12,6.237021300430321e-13,1.1015687473600615e-09,2.995217153557682e-11,18.231386439200083
1.0,0,15000.0,3.0,1.1627241970838767e-12,5.026875728754938e-13,4.223415220892476e-10,1.7848299886531657e-11,18.231386439200083
1.0,0,15000.0,4.0,8.895344423885878e-13,4.651458490920988e-13,2.0629793542300935e-11,3.645652526100701e-12,18.231386439200083
1.0,0,15000.0,5.0,7.222278079484075e-13,4.0128224774243056e-13,4.453474646336328e-12,1.7328593604435854e-12,18.231386439200083
1.0,0,15000.0,6.0,5.796147557486368e-13,3.4751290003610207e-13,2.5524956872926012e-12,1.2415219962002591e-12,18.231386439200083
1.0,0,15000.0,7.0,4.0691981287886946e-13,2.7204123003639015e-13,2.4843006276274053e-12,1.131180147645136e-12,18.231386439200083
1.0,0,15000.0,8.0,2.443666507684944e-13,1.8464442310152075e-13,1.7840478872719006e-12,9.401823002220746e-13,18.231386439200083
